### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 1 ###

value; hdDist; param
27; 0; 16
28; 0; 16
29; 0; 16
30; 0; 16
31; 0; 16
32; 0; 16
33; 0; 16
34; 0; 16
35; 0; 16
36; 0; 16
37; 0; 16
38; 0; 16
39; 0; 16
40; 0; 16
41; 0; 16
42; 0; 16
43; 0; 16
44; 0; 16
45; 0; 16
46; 0; 16
47; 0; 16
48; 0; 16
0; 0; 17
1; 0; 17
2; 0; 17
3; 0; 17
4; 2.04082; 17
5; 6.12245; 17
6; 22.449; 17
7; 6.12245; 17
8; 26.5306; 17
9; 10.2041; 17
10; 16.3265; 17
11; 6.12245; 17
12; 2.04082; 17
13; 2.04082; 17
14; 0; 17
15; 0; 17
16; 0; 17
17; 0; 17
18; 0; 17
19; 0; 17
20; 0; 17
21; 0; 17
22; 0; 17
23; 0; 17
24; 0; 17
25; 0; 17
26; 0; 17
27; 0; 17
28; 0; 17
29; 0; 17
30; 0; 17
31; 0; 17
32; 0; 17
33; 0; 17
34; 0; 17
35; 0; 17
36; 0; 17
37; 0; 17
38; 0; 17
39; 0; 17
40; 0; 17
41; 0; 17
42; 0; 17
43; 0; 17
44; 0; 17
45; 0; 17
46; 0; 17
47; 0; 17
48; 0; 17
0; 0; 18
1; 0; 18
2; 2.04082; 18
3; 0; 18
4; 20.4082; 18
5; 16.3265; 18
6; 20.4082; 18
7; 18.3673; 18
8; 8.16327; 18
9; 8.16327; 18
10; 2.04082; 18
11; 2.04082; 18
12; 2.04082; 18
13; 0; 18
14; 0; 18
15; 0; 18
16; 0; 18
17; 0; 18
18; 0; 18
19; 0; 18
20; 0; 18
21; 0; 18
22; 0; 18
23; 0; 18
24; 0; 18
25; 0; 18
26; 0; 18
27; 0; 18
28; 0; 18
29; 0; 18
30; 0; 18
31; 0; 18
32; 0; 18
33; 0; 18
34; 0; 18
35; 0; 18
36; 0; 18
37; 0; 18
38; 0; 18
39; 0; 18
40; 0; 18
41; 0; 18
42; 0; 18
43; 0; 18
44; 0; 18
45; 0; 18
46; 0; 18
47; 0; 18
48; 0; 18
0; 0; 19
1; 0; 19
2; 0; 19
3; 2.04082; 19
4; 8.16327; 19
5; 10.2041; 19
6; 16.3265; 19
7; 10.2041; 19
8; 18.3673; 19
9; 14.2857; 19
10; 14.2857; 19
11; 2.04082; 19
12; 2.04082; 19
13; 2.04082; 19
14; 0; 19
15; 0; 19
16; 0; 19
17; 0; 19
18; 0; 19
19; 0; 19
20; 0; 19
21; 0; 19
22; 0; 19
23; 0; 19
24; 0; 19
25; 0; 19
26; 0; 19
27; 0; 19
28; 0; 19
29; 0; 19
30; 0; 19
31; 0; 19
32; 0; 19
33; 0; 19
34; 0; 19
35; 0; 19
36; 0; 19
37; 0; 19
38; 0; 19
39; 0; 19
40; 0; 19
41; 0; 19
42; 0; 19
43; 0; 19
44; 0; 19
45; 0; 19
46; 0; 19
47; 0; 19
48; 0; 19
0; 0; 20
1; 0; 20
2; 0; 20
3; 4.08163; 20
4; 0; 20
5; 4.08163; 20
6; 20.4082; 20
7; 14.2857; 20
8; 22.449; 20
9; 14.2857; 20
10; 10.2041; 20
11; 6.12245; 20
12; 2.04082; 20
13; 0; 20
14; 0; 20
15; 2.04082; 20
16; 0; 20
17; 0; 20
18; 0; 20
19; 0; 20
20; 0; 20
21; 0; 20
22; 0; 20
23; 0; 20
24; 0; 20
25; 0; 20
26; 0; 20
27; 0; 20
28; 0; 20
29; 0; 20
30; 0; 20
31; 0; 20
32; 0; 20
33; 0; 20
34; 0; 20
35; 0; 20
36; 0; 20
37; 0; 20
38; 0; 20
39; 0; 20
40; 0; 20
41; 0; 20
42; 0; 20
43; 0; 20
44; 0; 20
45; 0; 20
46; 0; 20
47; 0; 20
48; 0; 20
0; 0; 21
1; 0; 21
2; 0; 21
3; 2.04082; 21
4; 2.04082; 21
5; 8.16327; 21
6; 8.16327; 21
7; 20.4082; 21
8; 20.4082; 21
9; 14.2857; 21
10; 12.2449; 21
11; 6.12245; 21
12; 4.08163; 21
13; 2.04082; 21
14; 0; 21
15; 0; 21
16; 0; 21
17; 0; 21
18; 0; 21
19; 0; 21
20; 0; 21
21; 0; 21
22; 0; 21
23; 0; 21
24; 0; 21
25; 0; 21
26; 0; 21
27; 0; 21
28; 0; 21
29; 0; 21
30; 0; 21
31; 0; 21
32; 0; 21
33; 0; 21
34; 0; 21
35; 0; 21
36; 0; 21
37; 0; 21
38; 0; 21
39; 0; 21
40; 0; 21
41; 0; 21
42; 0; 21
43; 0; 21
44; 0; 21
45; 0; 21
46; 0; 21
47; 0; 21
48; 0; 21
0; 0; 22
1; 0; 22
2; 0; 22
3; 2.04082; 22
4; 4.08163; 22
5; 10.2041; 22
6; 12.2449; 22
7; 28.5714; 22
8; 16.3265; 22
9; 6.12245; 22
10; 16.3265; 22
11; 2.04082; 22
12; 2.04082; 22
13; 0; 22
14; 0; 22
15; 0; 22
16; 0; 22
17; 0; 22
18; 0; 22
19; 0; 22
20; 0; 22
21; 0; 22
22; 0; 22
23; 0; 22
24; 0; 22
25; 0; 22
26; 0; 22
27; 0; 22
28; 0; 22
29; 0; 22
30; 0; 22
31; 0; 22
32; 0; 22
33; 0; 22
34; 0; 22
35; 0; 22
36; 0; 22
37; 0; 22
38; 0; 22
39; 0; 22
40; 0; 22
41; 0; 22
42; 0; 22
43; 0; 22
44; 0; 22
45; 0; 22
46; 0; 22
47; 0; 22
48; 0; 22
0; 0; 23
1; 0; 23
2; 0; 23
3; 8.16327; 23
4; 8.16327; 23
5; 28.5714; 23
6; 26.5306; 23
7; 22.449; 23
8; 6.12245; 23
9; 0; 23
10; 0; 23
11; 0; 23
12; 0; 23
13; 0; 23
14; 0; 23
15; 0; 23
16; 0; 23
17; 0; 23
18; 0; 23
19; 0; 23
20; 0; 23
21; 0; 23
22; 0; 23
23; 0; 23
24; 0; 23
25; 0; 23
26; 0; 23
27; 0; 23
28; 0; 23
29; 0; 23
30; 0; 23
31; 0; 23
32; 0; 23
33; 0; 23
34; 0; 23
35; 0; 23
36; 0; 23
37; 0; 23
38; 0; 23
39; 0; 23
40; 0; 23
41; 0; 23
42; 0; 23
43; 0; 23
44; 0; 23
45; 0; 23
46; 0; 23
47; 0; 23
48; 0; 23
0; 0; 24
1; 0; 24
2; 0; 24
3; 8.16327; 24
4; 6.12245; 24
5; 18.3673; 24
6; 14.2857; 24
7; 16.3265; 24
8; 16.3265; 24
9; 8.16327; 24
10; 6.12245; 24
11; 4.08163; 24
12; 2.04082; 24
13; 0; 24
14; 0; 24
15; 0; 24
16; 0; 24
17; 0; 24
18; 0; 24
19; 0; 24
20; 0; 24
21; 0; 24
22; 0; 24
23; 0; 24
24; 0; 24
25; 0; 24
26; 0; 24
27; 0; 24
28; 0; 24
29; 0; 24
30; 0; 24
31; 0; 24
32; 0; 24
33; 0; 24
34; 0; 24
35; 0; 24
36; 0; 24
37; 0; 24
38; 0; 24
39; 0; 24
40; 0; 24
41; 0; 24
42; 0; 24
43; 0; 24
44; 0; 24
45; 0; 24
46; 0; 24
47; 0; 24
48; 0; 24
0; 0; 25
1; 0; 25
2; 0; 25
3; 2.04082; 25
4; 12.2449; 25
5; 14.2857; 25
6; 34.6939; 25
7; 18.3673; 25
8; 12.2449; 25
9; 0; 25
10; 6.12245; 25
11; 0; 25
12; 0; 25
13; 0; 25
14; 0; 25
15; 0; 25
16; 0; 25
17; 0; 25
18; 0; 25
19; 0; 25
20; 0; 25
21; 0; 25
22; 0; 25
23; 0; 25
24; 0; 25
25; 0; 25
26; 0; 25
27; 0; 25
28; 0; 25
29; 0; 25
30; 0; 25
31; 0; 25
32; 0; 25
33; 0; 25
34; 0; 25
35; 0; 25
36; 0; 25
37; 0; 25
38; 0; 25
39; 0; 25
40; 0; 25
41; 0; 25
42; 0; 25
43; 0; 25
44; 0; 25
45; 0; 25
46; 0; 25
47; 0; 25
48; 0; 25
0; 0; 26
1; 0; 26
2; 0; 26
3; 0; 26
4; 0; 26
5; 14.2857; 26
6; 28.5714; 26
7; 26.5306; 26
8; 16.3265; 26
9; 10.2041; 26
10; 4.08163; 26
11; 0; 26
12; 0; 26
13; 0; 26
14; 0; 26
15; 0; 26
16; 0; 26
17; 0; 26
18; 0; 26
19; 0; 26
20; 0; 26
21; 0; 26
22; 0; 26
23; 0; 26
24; 0; 26
25; 0; 26
26; 0; 26
27; 0; 26
28; 0; 26
29; 0; 26
30; 0; 26
31; 0; 26
32; 0; 26
33; 0; 26
34; 0; 26
35; 0; 26
36; 0; 26
37; 0; 26
38; 0; 26
39; 0; 26
40; 0; 26
41; 0; 26
42; 0; 26
43; 0; 26
44; 0; 26
45; 0; 26
46; 0; 26
47; 0; 26
48; 0; 26
0; 0; 27
1; 0; 27
2; 0; 27
3; 6.12245; 27
4; 2.04082; 27
5; 22.449; 27
6; 14.2857; 27
7; 22.449; 27
8; 18.3673; 27
9; 8.16327; 27
10; 6.12245; 27
11; 0; 27
12; 0; 27
13; 0; 27
14; 0; 27
15; 0; 27
16; 0; 27
17; 0; 27
18; 0; 27
19; 0; 27
20; 0; 27
21; 0; 27
22; 0; 27
23; 0; 27
24; 0; 27
25; 0; 27
26; 0; 27
27; 0; 27
28; 0; 27
29; 0; 27
30; 0; 27
31; 0; 27
32; 0; 27
33; 0; 27
34; 0; 27
35; 0; 27
36; 0; 27
37; 0; 27
38; 0; 27
39; 0; 27
40; 0; 27
41; 0; 27
42; 0; 27
43; 0; 27
44; 0; 27
45; 0; 27
46; 0; 27
47; 0; 27
48; 0; 27
0; 0; 28
1; 0; 28
2; 2.04082; 28
3; 6.12245; 28
4; 4.08163; 28
5; 22.449; 28
6; 26.5306; 28
7; 18.3673; 28
8; 10.2041; 28
9; 8.16327; 28
10; 2.04082; 28
11; 0; 28
12; 0; 28
13; 0; 28
14; 0; 28
15; 0; 28
16; 0; 28
17; 0; 28
18; 0; 28
19; 0; 28
20; 0; 28
21; 0; 28
22; 0; 28
23; 0; 28
24; 0; 28
25; 0; 28
26; 0; 28
27; 0; 28
28; 0; 28
29; 0; 28
30; 0; 28
31; 0; 28
32; 0; 28
33; 0; 28
34; 0; 28
35; 0; 28
36; 0; 28
37; 0; 28
38; 0; 28
39; 0; 28
40; 0; 28
41; 0; 28
42; 0; 28
43; 0; 28
44; 0; 28
45; 0; 28
46; 0; 28
47; 0; 28
48; 0; 28
0; 0; 29
1; 0; 29
2; 4.08163; 29
3; 2.04082; 29
4; 6.12245; 29
5; 24.4898; 29
6; 20.4082; 29
7; 28.5714; 29
8; 8.16327; 29
9; 6.12245; 29
10; 0; 29
11; 0; 29
12; 0; 29
13; 0; 29
14; 0; 29
15; 0; 29
16; 0; 29
17; 0; 29
18; 0; 29
19; 0; 29
20; 0; 29
21; 0; 29
22; 0; 29
23; 0; 29
24; 0; 29
25; 0; 29
26; 0; 29
27; 0; 29
28; 0; 29
