### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 1 ###

value; productivity; quality; param
0.375; 3.08205; 10.2458; 15
0.425; 96.6703; 16.4098; 15
0.475; 0; 34.1105; 15
0.525; 0; 30.3621; 15
0.575; 0; 4.16494; 15
0.625; 0; 3.87339; 15
0.675; 0; 0.832986; 15
0.725; 0; 0; 15
0.775; 0; 0; 15
0.825; 0; 0; 15
0.875; 0; 0; 15
0.925; 0; 0; 15
0.975; 0; 0; 15
0.025; 0; 0; 16
0.075; 0; 0; 16
0.125; 0; 0; 16
0.175; 0; 0; 16
0.225; 0; 0; 16
0.275; 0; 0.0416493; 16
0.325; 0; 0; 16
0.375; 0; 0.0832986; 16
0.425; 0.0832986; 26.4472; 16
0.475; 0.208247; 26.4055; 16
0.525; 0.0832986; 22.4905; 16
0.575; 0.374844; 19.2003; 16
0.625; 0.333194; 5.28947; 16
0.675; 98.9195; 0; 16
0.725; 0; 0.0416493; 16
0.775; 0; 0; 16
0.825; 0; 0; 16
0.875; 0; 0; 16
0.925; 0; 0; 16
0.975; 0; 0; 16
0.025; 0; 0; 17
0.075; 0; 0; 17
0.125; 0; 0; 17
0.175; 0; 0; 17
0.225; 0; 0; 17
0.275; 0; 0; 17
0.325; 0.124948; 0; 17
0.375; 0; 0.0416493; 17
0.425; 0; 0; 17
0.475; 0.0416493; 41.8988; 17
0.525; 0; 40.6494; 17
0.575; 0.0416493; 17.4094; 17
0.625; 0; 0; 17
0.675; 99.7942; 0; 17
0.725; 0; 0; 17
0.775; 0; 0; 17
0.825; 0; 0; 17
0.875; 0; 0; 17
0.925; 0; 0; 17
0.975; 0; 0; 17
0.025; 0; 0; 18
0.075; 0; 0; 18
0.125; 0; 0; 18
0.175; 0; 0; 18
0.225; 0; 0; 18
0.275; 0; 0; 18
0.325; 0; 0; 18
0.375; 0.916285; 0; 18
0.425; 0; 0.916285; 18
0.475; 39.5665; 41.1492; 18
0.525; 59.5169; 21.3244; 18
0.575; 0; 16.7847; 18
0.625; 0; 19.825; 18
0.675; 0; 0; 18
0.725; 0; 0; 18
0.775; 0; 0; 18
0.825; 0; 0; 18
0.875; 0; 0; 18
0.925; 0; 0; 18
0.975; 0; 0; 18
0.025; 0; 0; 19
0.075; 0; 0; 19
0.125; 0; 0; 19
0.175; 0; 0; 19
0.225; 0; 0; 19
0.275; 0; 0; 19
0.325; 0; 0; 19
0.375; 0; 5.66432; 19
0.425; 0; 18.284; 19
0.475; 0; 14.9105; 19
0.525; 0.124948; 17.6176; 19
0.575; 2.37401; 29.3626; 19
0.625; 60.5999; 14.0358; 19
0.675; 36.901; 0; 19
0.725; 0; 0; 19
0.775; 0; 0; 19
0.825; 0; 0; 19
0.875; 0; 0; 19
0.925; 0; 0.124948; 19
0.975; 0; 0; 19
0.025; 0; 0; 20
0.075; 0; 0; 20
0.125; 0; 0; 20
0.175; 0; 0; 20
0.225; 0; 0; 20
0.275; 0; 0; 20
0.325; 0; 0; 20
0.375; 0; 1.99917; 20
0.425; 0; 14.0358; 20
0.475; 0.0416493; 29.7791; 20
0.525; 0; 31.4034; 20
0.575; 0.124948; 15.4519; 20
0.625; 0.666389; 7.20535; 20
0.675; 83.55; 0.0832986; 20
0.725; 15.6185; 0; 20
0.775; 0; 0; 20
0.825; 0; 0.0416493; 20
0.875; 0; 0; 20
0.925; 0; 0; 20
0.975; 0; 0; 20
0.025; 0; 0; 21
0.075; 0; 0; 21
0.125; 0; 0; 21
0.175; 0; 0; 21
0.225; 0; 0; 21
0.275; 0; 0; 21
0.325; 0; 0; 21
0.375; 0.124948; 0.249896; 21
0.425; 0; 4.45648; 21
0.475; 0; 20.533; 21
0.525; 0.0416493; 23.1986; 21
0.575; 0; 39.3166; 21
0.625; 25.6142; 12.2449; 21
0.675; 74.22; 0; 21
0.725; 0; 0; 21
