### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 1 ###

quantity; frequency; param
0.104618; 4; 17
0.165809; 0; 17
0.262789; 0; 17
0.416493; 0; 17
0.660097; 4; 17
1.04618; 8; 17
1.65809; 4; 17
2.62789; 28; 17
4.16493; 36; 17
6.60097; 8; 17
10.4618; 0; 17
16.5809; 0; 17
26.2789; 0; 17
41.6493; 0; 17
66.0097; 0; 17
0.0416493; 4.34783; 18
0.0660097; 0; 18
0.104618; 0; 18
0.165809; 8.69565; 18
0.262789; 4.34783; 18
0.416493; 4.34783; 18
0.660097; 4.34783; 18
1.04618; 0; 18
1.65809; 4.34783; 18
2.62789; 17.3913; 18
4.16493; 34.7826; 18
6.60097; 17.3913; 18
10.4618; 0; 18
16.5809; 0; 18
26.2789; 0; 18
41.6493; 0; 18
66.0097; 0; 18
0.0416493; 2.85714; 19
0.0660097; 2.85714; 19
0.104618; 2.85714; 19
0.165809; 2.85714; 19
0.262789; 2.85714; 19
0.416493; 5.71429; 19
0.660097; 5.71429; 19
1.04618; 11.4286; 19
1.65809; 20; 19
2.62789; 17.1429; 19
4.16493; 25.7143; 19
6.60097; 0; 19
10.4618; 0; 19
16.5809; 0; 19
26.2789; 0; 19
41.6493; 0; 19
66.0097; 0; 19
0.0416493; 4.87805; 20
0.0660097; 2.43902; 20
0.104618; 0; 20
0.165809; 2.43902; 20
0.262789; 4.87805; 20
0.416493; 7.31707; 20
0.660097; 14.6341; 20
1.04618; 12.1951; 20
1.65809; 14.6341; 20
2.62789; 17.0732; 20
4.16493; 19.5122; 20
6.60097; 0; 20
10.4618; 0; 20
16.5809; 0; 20
26.2789; 0; 20
41.6493; 0; 20
66.0097; 0; 20
0.0416493; 6.45161; 21
0.0660097; 3.22581; 21
0.104618; 0; 21
0.165809; 3.22581; 21
0.262789; 6.45161; 21
0.416493; 3.22581; 21
0.660097; 0; 21
1.04618; 6.45161; 21
1.65809; 16.129; 21
2.62789; 25.8064; 21
4.16493; 25.8064; 21
6.60097; 3.22581; 21
10.4618; 0; 21
16.5809; 0; 21
26.2789; 0; 21
41.6493; 0; 21
66.0097; 0; 21
0.0416493; 10; 22
0.0660097; 0; 22
0.104618; 3.33333; 22
0.165809; 0; 22
0.262789; 0; 22
0.416493; 6.66667; 22
0.660097; 6.66667; 22
1.04618; 3.33333; 22
1.65809; 23.3333; 22
2.62789; 16.6667; 22
4.16493; 23.3333; 22
6.60097; 3.33333; 22
10.4618; 3.33333; 22
16.5809; 0; 22
26.2789; 0; 22
41.6493; 0; 22
66.0097; 0; 22
0.0416493; 9.52381; 23
0.0660097; 0; 23
0.104618; 0; 23
0.165809; 0; 23
0.262789; 0; 23
0.416493; 9.52381; 23
0.660097; 9.52381; 23
1.04618; 4.7619; 23
1.65809; 4.7619; 23
2.62789; 9.52381; 23
4.16493; 28.5714; 23
6.60097; 23.8095; 23
10.4618; 0; 23
16.5809; 0; 23
26.2789; 0; 23
41.6493; 0; 23
66.0097; 0; 23
0.0416493; 10.7143; 24
0.0660097; 3.57143; 24
0.104618; 3.57143; 24
0.165809; 3.57143; 24
0.262789; 3.57143; 24
0.416493; 7.14286; 24
0.660097; 0; 24
1.04618; 7.14286; 24
1.65809; 7.14286; 24
2.62789; 25; 24
4.16493; 21.4286; 24
6.60097; 3.57143; 24
10.4618; 3.57143; 24
16.5809; 0; 24
26.2789; 0; 24
41.6493; 0; 24
66.0097; 0; 24
0.0416493; 3.57143; 25
0.0660097; 0; 25
0.104618; 0; 25
0.165809; 0; 25
0.262789; 14.2857; 25
0.416493; 10.7143; 25
0.660097; 3.57143; 25
1.04618; 3.57143; 25
1.65809; 7.14286; 25
2.62789; 21.4286; 25
4.16493; 25; 25
6.60097; 10.7143; 25
10.4618; 0; 25
16.5809; 0; 25
26.2789; 0; 25
41.6493; 0; 25
66.0097; 0; 25
0.0416493; 0; 26
0.0660097; 0; 26
0.104618; 0; 26
0.165809; 0; 26
0.262789; 0; 26
0.416493; 5.26316; 26
0.660097; 10.5263; 26
1.04618; 5.26316; 26
1.65809; 5.26316; 26
2.62789; 26.3158; 26
4.16493; 15.7895; 26
6.60097; 31.5789; 26
10.4618; 0; 26
16.5809; 0; 26
26.2789; 0; 26
41.6493; 0; 26
66.0097; 0; 26
0.0416493; 0; 27
0.0660097; 0; 27
0.104618; 0; 27
0.165809; 0; 27
0.262789; 0; 27
0.416493; 3.7037; 27
0.660097; 0; 27
1.04618; 25.9259; 27
1.65809; 22.2222; 27
2.62789; 18.5185; 27
4.16493; 18.5185; 27
6.60097; 11.1111; 27
10.4618; 0; 27
16.5809; 0; 27
26.2789; 0; 27
41.6493; 0; 27
66.0097; 0; 27
0.0416493; 8; 28
0.0660097; 4; 28
0.104618; 0; 28
0.165809; 4; 28
0.262789; 4; 28
0.416493; 0; 28
0.660097; 4; 28
1.04618; 12; 28
1.65809; 0; 28
2.62789; 24; 28
4.16493; 24; 28
6.60097; 16; 28
10.4618; 0; 28
16.5809; 0; 28
26.2789; 0; 28
41.6493; 0; 28
66.0097; 0; 28
0.0416493; 4.7619; 29
0.0660097; 4.7619; 29
0.104618; 4.7619; 29
0.165809; 4.7619; 29
0.262789; 4.7619; 29
0.416493; 0; 29
0.660097; 0; 29
1.04618; 9.52381; 29
1.65809; 4.7619; 29
2.62789; 14.2857; 29
4.16493; 19.0476; 29
6.60097; 28.5714; 29
10.4618; 0; 29
16.5809; 0; 29
26.2789; 0; 29
41.6493; 0; 29
66.0097; 0; 29
0.0416493; 8.33333; 30
0.0660097; 0; 30
0.104618; 4.16667; 30
0.165809; 0; 30
0.262789; 0; 30
0.416493; 8.33333; 30
0.660097; 16.6667; 30
1.04618; 0; 30
1.65809; 0; 30
2.62789; 4.16667; 30
4.16493; 50; 30
6.60097; 8.33333; 30
10.4618; 0; 30
16.5809; 0; 30
26.2789; 0; 30
41.6493; 0; 30
66.0097; 0; 30
0.0416493; 10.7143; 31
0.0660097; 0; 31
0.104618; 0; 31
0.165809; 3.57143; 31
0.262789; 3.57143; 31
0.416493; 3.57143; 31
0.660097; 7.14286; 31
1.04618; 10.7143; 31
1.65809; 7.14286; 31
2.62789; 17.8571; 31
4.16493; 25; 31
6.60097; 7.14286; 31
10.4618; 3.57143; 31
16.5809; 0; 31
26.2789; 0; 31
41.6493; 0; 31
66.0097; 0; 31
0.0416493; 5; 32
0.0660097; 5; 32
0.104618; 0; 32
0.165809; 5; 32
0.262789; 0; 32
0.416493; 0; 32
0.660097; 5; 32
1.04618; 0; 32
1.65809; 10; 32
2.62789; 10; 32
4.16493; 35; 32
6.60097; 20; 32
10.4618; 5; 32
16.5809; 0; 32
26.2789; 0; 32
41.6493; 0; 32
66.0097; 0; 32
0.0416493; 0; 33
0.0660097; 0; 33
0.104618; 0; 33
0.165809; 0; 33
0.262789; 0; 33
0.416493; 16.6667; 33
0.660097; 4.16667; 33
1.04618; 12.5; 33
1.65809; 8.33333; 33
2.62789; 25; 33
4.16493; 12.5; 33
6.60097; 20.8333; 33
10.4618; 0; 33
16.5809; 0; 33
26.2789; 0; 33
41.6493; 0; 33
66.0097; 0; 33
0.0416493; 4.34783; 34
0.0660097; 0; 34
0.104618; 0; 34
0.165809; 4.34783; 34
0.262789; 4.34783; 34
0.416493; 0; 34
0.660097; 17.3913; 34
1.04618; 0; 34
1.65809; 13.0435; 34
2.62789; 17.3913; 34
4.16493; 8.69565; 34
6.60097; 30.4348; 34
10.4618; 0; 34
16.5809; 0; 34
26.2789; 0; 34
41.6493; 0; 34
66.0097; 0; 34
0.0416493; 0; 35
0.0660097; 0; 35
0.104618; 0; 35
0.165809; 0; 35
0.262789; 0; 35
0.416493; 0; 35
0.660097; 0; 35
1.04618; 6.66667; 35
1.65809; 0; 35
2.62789; 13.3333; 35
4.16493; 33.3333; 35
6.60097; 46.6667; 35
10.4618; 0; 35
16.5809; 0; 35
26.2789; 0; 35
41.6493; 0; 35
66.0097; 0; 35
0.0416493; 7.69231; 36
0.0660097; 0; 36
0.104618; 3.84615; 36
0.165809; 0; 36
0.262789; 3.84615; 36
0.416493; 3.84615; 36
0.660097; 3.84615; 36
1.04618; 3.84615; 36
1.65809; 15.3846; 36
2.62789; 15.3846; 36
4.16493; 30.7692; 36
6.60097; 11.5385; 36
10.4618; 0; 36
16.5809; 0; 36
26.2789; 0; 36
41.6493; 0; 36
66.0097; 0; 36
0.0416493; 9.52381; 37
0.0660097; 0; 37
0.104618; 0; 37
0.165809; 0; 37
0.262789; 0; 37
0.416493; 0; 37
0.660097; 0; 37
1.04618; 0; 37
1.65809; 14.2857; 37
2.62789; 33.3333; 37
4.16493; 28.5714; 37
6.60097; 14.2857; 37
10.4618; 0; 37
16.5809; 0; 37
26.2789; 0; 37
41.6493; 0; 37
66.0097; 0; 37
0.0416493; 0; 38
0.0660097; 3.57143; 38
0.104618; 0; 38
0.165809; 3.57143; 38
0.262789; 0; 38
0.416493; 3.57143; 38
0.660097; 7.14286; 38
1.04618; 7.14286; 38
1.65809; 10.7143; 38
2.62789; 32.1429; 38
4.16493; 28.5714; 38
6.60097; 3.57143; 38
10.4618; 0; 38
16.5809; 0; 38
26.2789; 0; 38
41.6493; 0; 38
66.0097; 0; 38
0.0416493; 15; 39
0.0660097; 5; 39
0.104618; 0; 39
0.165809; 5; 39
0.262789; 7.5; 39
0.416493; 5; 39
0.660097; 10; 39
1.04618; 12.5; 39
1.65809; 7.5; 39
2.62789; 12.5; 39
4.16493; 12.5; 39
6.60097; 7.5; 39
10.4618; 0; 39
16.5809; 0; 39
26.2789; 0; 39
41.6493; 0; 39
66.0097; 0; 39
0.0416493; 6.66667; 40
0.0660097; 6.66667; 40
0.104618; 0; 40
0.165809; 0; 40
0.262789; 0; 40
0.416493; 0; 40
0.660097; 6.66667; 40
1.04618; 6.66667; 40
1.65809; 6.66667; 40
2.62789; 13.3333; 40
4.16493; 13.3333; 40
6.60097; 20; 40
10.4618; 20; 40
16.5809; 0; 40
