### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 200 ###

time; nVar; meanHD; totalPunctuation; productivityPunctuation; qualityPunctuation; bergerCommunity; simpsonCommunity; shannonCommunity; bergerHD; simpsonHD; shannonHD; param
150; 48.785; 5.72112; 0.553837; 0.238743; 0.315094; 0.0987318; 0.950539; 0.870179; 0.41025; 0.262701; 0.765332; 3
180; 48.615; 5.77173; 0.557414; 0.24241; 0.315004; 0.0990088; 0.950249; 0.872142; 0.409813; 0.261846; 0.763883; 3
210; 48.32; 5.80837; 0.560351; 0.245539; 0.314811; 0.101131; 0.948643; 0.869443; 0.409625; 0.261358; 0.762714; 3
240; 47.735; 5.82092; 0.563306; 0.248385; 0.314922; 0.100162; 0.948131; 0.868538; 0.406098; 0.258835; 0.76749; 3
270; 46.975; 5.81694; 0.565668; 0.250672; 0.314996; 0.102595; 0.947114; 0.869365; 0.406168; 0.259207; 0.767683; 3
300; 45.815; 5.88163; 0.567203; 0.252517; 0.314687; 0.100823; 0.947335; 0.871644; 0.402751; 0.25633; 0.768747; 3
330; 44.79; 5.89347; 0.569572; 0.25464; 0.314932; 0.0998084; 0.947076; 0.873554; 0.404025; 0.256906; 0.768562; 3
360; 43.655; 5.90531; 0.570892; 0.256076; 0.314816; 0.0982382; 0.947106; 0.873567; 0.403421; 0.256412; 0.767545; 3
390; 43.33; 5.91388; 0.573105; 0.258188; 0.314916; 0.0985506; 0.946283; 0.872986; 0.402609; 0.255601; 0.771579; 3
420; 42.41; 5.91327; 0.574556; 0.259812; 0.314744; 0.10208; 0.944759; 0.87125; 0.401791; 0.254986; 0.770636; 3
450; 41.505; 5.93888; 0.576459; 0.261676; 0.314783; 0.101485; 0.944685; 0.872757; 0.400063; 0.253405; 0.771804; 3
480; 40.9; 5.955; 0.577758; 0.263194; 0.314563; 0.10127; 0.944679; 0.873472; 0.399221; 0.252879; 0.772895; 3
