### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 1 ###

time; nVar; meanHD; totalPunctuation; productivityPunctuation; qualityPunctuation; bergerCommunity; simpsonCommunity; shannonCommunity; bergerHD; simpsonHD; shannonHD; param
1710; 22; 4.16327; 0.413017; 0.12198; 0.291037; 0.182007; 0.87893; 0.753533; 0.430654; 0.282909; 0.798839; 0
1740; 22; 3.93878; 0.415753; 0.120574; 0.295179; 0.195335; 0.881095; 0.78238; 0.4798; 0.320105; 0.77876; 0
1770; 24; 4.16327; 0.41472; 0.119967; 0.294753; 0.184506; 0.893898; 0.818158; 0.428988; 0.274333; 0.790119; 0
1800; 23; 4.34694; 0.411404; 0.123573; 0.287832; 0.176593; 0.884829; 0.784676; 0.42274; 0.27537; 0.790935; 0
1830; 22; 4.28571; 0.415323; 0.123886; 0.291437; 0.152436; 0.898389; 0.830925; 0.427738; 0.272319; 0.791307; 0
1860; 22; 4.10204; 0.417825; 0.124436; 0.293389; 0.156601; 0.894601; 0.798587; 0.444398; 0.292089; 0.784684; 0
1890; 24; 4.79592; 0.409213; 0.116954; 0.292258; 0.0945439; 0.921537; 0.810401; 0.421075; 0.265485; 0.753489; 0
1920; 32; 4.89796; 0.414883; 0.119861; 0.295023; 0.117868; 0.920514; 0.846966; 0.41691; 0.264397; 0.7789; 0
1950; 25; 4.4898; 0.4181; 0.119397; 0.298703; 0.114119; 0.912502; 0.838002; 0.413161; 0.26398; 0.791333; 0
1980; 23; 4.32653; 0.418647; 0.118667; 0.29998; 0.109538; 0.921586; 0.885267; 0.436485; 0.284388; 0.79474; 0
2010; 21; 4.06122; 0.420506; 0.118245; 0.302261; 0.113703; 0.918184; 0.875602; 0.442732; 0.293449; 0.79415; 0
2040; 21; 4.5102; 0.412335; 0.117372; 0.294963; 0.107455; 0.910504; 0.884477; 0.386506; 0.24279; 0.813547; 0
