### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 200 ###

time; nVar; meanHD; totalPunctuation; productivityPunctuation; qualityPunctuation; bergerCommunity; simpsonCommunity; shannonCommunity; bergerHD; simpsonHD; shannonHD; param
1890; 25.4; 6.3202; 0.619071; 0.303083; 0.315988; 0.11081; 0.923558; 0.885654; 0.381783; 0.23754; 0.792043; 5
1920; 25.195; 6.31572; 0.618185; 0.30273; 0.315455; 0.109217; 0.923933; 0.88447; 0.381943; 0.237094; 0.790694; 5
1950; 25.335; 6.31929; 0.619402; 0.303496; 0.315906; 0.109352; 0.923956; 0.885792; 0.379409; 0.235871; 0.792881; 5
1980; 25.22; 6.345; 0.619059; 0.303548; 0.315511; 0.110437; 0.923671; 0.892522; 0.379404; 0.23528; 0.792243; 5
2010; 24.965; 6.34867; 0.620069; 0.304067; 0.316003; 0.108559; 0.923946; 0.888975; 0.380248; 0.235982; 0.792251; 5
2040; 24.87; 6.32561; 0.620675; 0.304465; 0.31621; 0.109856; 0.923899; 0.89223; 0.380246; 0.236478; 0.792656; 5
2070; 24.92; 6.31908; 0.620672; 0.304646; 0.316026; 0.109979; 0.923836; 0.891014; 0.381712; 0.237409; 0.791793; 5
2100; 24.585; 6.36316; 0.620523; 0.304709; 0.315814; 0.108682; 0.924023; 0.892405; 0.378509; 0.234957; 0.792847; 5
2130; 24.82; 6.3349; 0.620808; 0.304987; 0.315821; 0.109438; 0.923355; 0.891111; 0.3809; 0.236018; 0.792867; 5
2160; 24.27; 6.3451; 0.620306; 0.304849; 0.315457; 0.109442; 0.923688; 0.888263; 0.378136; 0.234195; 0.793422; 5
2190; 24.495; 6.3549; 0.621395; 0.305518; 0.315877; 0.108519; 0.923976; 0.891871; 0.380317; 0.235133; 0.792812; 5
2220; 24.25; 6.34306; 0.621241; 0.305549; 0.315692; 0.108819; 0.923698; 0.895069; 0.379432; 0.235441; 0.792761; 5
2250; 24.175; 6.32592; 0.622006; 0.306047; 0.315958; 0.110033; 0.923399; 0.894211; 0.380179; 0.235986; 0.793215; 5
2280; 24.17; 6.36357; 0.621846; 0.306135; 0.315711; 0.109623; 0.923313; 0.889328; 0.378457; 0.234839; 0.793081; 5
2310; 24.05; 6.35867; 0.622157; 0.306144; 0.316013; 0.109338; 0.923724; 0.892813; 0.379773; 0.235871; 0.792816; 5
2340; 24.28; 6.36918; 0.622591; 0.306632; 0.315958; 0.109321; 0.923943; 0.890182; 0.377718; 0.234274; 0.79298; 5
2370; 24.15; 6.32837; 0.622832; 0.306715; 0.316117; 0.109161; 0.92364; 0.89405; 0.381708; 0.236574; 0.792477; 5
2400; 24.12; 6.36867; 0.622708; 0.306825; 0.315883; 0.110192; 0.922984; 0.887614; 0.379754; 0.23568; 0.792537; 5
2430; 24.065; 6.33112; 0.622765; 0.306935; 0.315829; 0.11026; 0.922926; 0.893146; 0.379311; 0.235316; 0.793873; 5
2460; 23.87; 6.35062; 0.623398; 0.307315; 0.316083; 0.108609; 0.923186; 0.891467; 0.380004; 0.236019; 0.794092; 5
2490; 23.84; 6.36398; 0.624137; 0.307843; 0.316294; 0.109434; 0.923068; 0.888673; 0.379465; 0.235505; 0.792957; 5
2520; 23.77; 6.33296; 0.624003; 0.307988; 0.316015; 0.111497; 0.922036; 0.892434; 0.379727; 0.236483; 0.793595; 5
2550; 23.725; 6.34214; 0.624478; 0.308365; 0.316113; 0.110652; 0.922126; 0.888057; 0.379948; 0.236413; 0.794232; 5
2580; 23.84; 6.36837; 0.623995; 0.308332; 0.315662; 0.109908; 0.921853; 0.889185; 0.378055; 0.234624; 0.79358; 5
2610; 23.76; 6.38092; 0.624707; 0.30866; 0.316047; 0.110798; 0.921917; 0.892955; 0.379454; 0.235227; 0.792755; 5
2640; 23.905; 6.35633; 0.624914; 0.30894; 0.315973; 0.110364; 0.921816; 0.893872; 0.380412; 0.235871; 0.79325; 5
2670; 23.7; 6.34173; 0.625125; 0.309119; 0.316006; 0.111924; 0.92186; 0.894479; 0.379404; 0.235538; 0.793549; 5
2700; 23.575; 6.38643; 0.62492; 0.309101; 0.315819; 0.11055; 0.921932; 0.89527; 0.378259; 0.234612; 0.793897; 5
2730; 23.625; 6.37765; 0.625461; 0.309397; 0.316064; 0.110115; 0.922143; 0.895863; 0.3791; 0.235079; 0.793765; 5
2760; 23.445; 6.34071; 0.625861; 0.309593; 0.316268; 0.111441; 0.921606; 0.891026; 0.38016; 0.23627; 0.795039; 5
2790; 23.39; 6.3602; 0.626018; 0.309754; 0.316264; 0.108888; 0.922418; 0.895346; 0.379696; 0.235616; 0.794103; 5
2820; 23.49; 6.39306; 0.62618; 0.310009; 0.31617; 0.109269; 0.922505; 0.895185; 0.378769; 0.234553; 0.793921; 5
2850; 23.505; 6.34827; 0.626704; 0.310342; 0.316362; 0.11117; 0.921246; 0.892447; 0.37966; 0.236059; 0.793817; 5
2880; 23.42; 6.345; 0.626326; 0.310396; 0.31593; 0.110737; 0.921108; 0.896213; 0.378765; 0.235685; 0.794737; 5
2910; 23.105; 6.35082; 0.626422; 0.310513; 0.31591; 0.112412; 0.920554; 0.888413; 0.379973; 0.235998; 0.793509; 5
2940; 23.305; 6.38929; 0.626373; 0.310472; 0.315901; 0.112464; 0.920933; 0.887134; 0.378707; 0.235121; 0.793295; 5
2970; 23.405; 6.34357; 0.626683; 0.310769; 0.315914; 0.110625; 0.921045; 0.894208; 0.379746; 0.23603; 0.79479; 5
0; 9.965; 4.07765; 0.4587; 0.210308; 0.248393; 0.118975; 0.895016; 0.990092; 0.341476; 0.225539; 0.903266; 10
30; 12.095; 4.75551; 0.543265; 0.234803; 0.308462; 0.200004; 0.887463; 0.76982; 0.453767; 0.308577; 0.761589; 10
60; 33.245; 5.39337; 0.553883; 0.242005; 0.311878; 0.148823; 0.92295; 0.820999; 0.424973; 0.277474; 0.765078; 10
90; 40.99; 5.77928; 0.561433; 0.24762; 0.313813; 0.125096; 0.935217; 0.840053; 0.405716; 0.259395; 0.772791; 10
120; 44.23; 5.94; 0.567318; 0.25275; 0.314568; 0.119234; 0.936572; 0.8447; 0.4039; 0.256181; 0.768493; 10
150; 44.435; 6.00378; 0.570869; 0.256101; 0.314768; 0.114885; 0.938102; 0.852358; 0.39768; 0.250767; 0.771591; 10
180; 43.8; 6.03867; 0.576169; 0.260409; 0.31576; 0.11092; 0.938688; 0.858396; 0.397222; 0.250411; 0.772993; 10
210; 42.385; 6.11255; 0.579385; 0.263694; 0.315691; 0.112461; 0.938363; 0.85957; 0.39398; 0.247085; 0.77359; 10
240; 41.415; 6.14928; 0.582372; 0.266566; 0.315805; 0.109723; 0.939308; 0.861432; 0.392659; 0.245822; 0.774806; 10
270; 40.8; 6.15806; 0.585267; 0.269341; 0.315925; 0.108549; 0.938669; 0.860614; 0.392099; 0.244566; 0.775309; 10
300; 39.395; 6.18959; 0.587661; 0.27175; 0.315911; 0.106808; 0.939081; 0.864067; 0.389363; 0.242827; 0.776862; 10
330; 38.395; 6.23816; 0.589697; 0.273777; 0.315921; 0.105279; 0.939285; 0.868488; 0.386495; 0.24033; 0.778492; 10
360; 37.225; 6.22714; 0.591907; 0.276095; 0.315812; 0.104025; 0.938467; 0.870077; 0.386008; 0.240486; 0.778828; 10
390; 35.945; 6.23102; 0.593943; 0.278208; 0.315736; 0.107089; 0.936984; 0.870599; 0.387368; 0.241062; 0.780124; 10
420; 35.165; 6.25714; 0.595183; 0.279456; 0.315727; 0.105933; 0.93639; 0.871586; 0.386816; 0.240342; 0.779128; 10
450; 34.61; 6.26102; 0.596971; 0.281046; 0.315926; 0.105743; 0.93628; 0.873809; 0.385729; 0.240293; 0.781449; 10
480; 34.14; 6.30959; 0.598035; 0.282553; 0.315481; 0.104282; 0.935431; 0.87324; 0.383878; 0.238242; 0.782646; 10
510; 33.83; 6.29836; 0.600161; 0.284216; 0.315945; 0.106554; 0.935104; 0.875176; 0.38617; 0.239985; 0.781445; 10
540; 33.245; 6.29837; 0.601804; 0.285863; 0.315941; 0.108342; 0.933972; 0.873222; 0.386429; 0.240101; 0.782259; 10
570; 32.78; 6.30623; 0.603059; 0.287052; 0.316007; 0.106701; 0.933731; 0.871825; 0.386435; 0.240338; 0.781977; 10
600; 32.81; 6.32806; 0.604012; 0.288121; 0.315891; 0.105779; 0.934146; 0.877889; 0.383724; 0.238356; 0.782914; 10
630; 32.09; 6.35888; 0.605016; 0.289224; 0.315792; 0.106787; 0.934077; 0.877451; 0.381764; 0.236483; 0.784545; 10
660; 31.85; 6.34541; 0.605569; 0.290064; 0.315505; 0.10884; 0.932866; 0.875318; 0.38181; 0.236547; 0.783682; 10
690; 31.61; 6.31663; 0.607854; 0.291627; 0.316226; 0.107601; 0.933838; 0.877179; 0.383236; 0.238075; 0.784327; 10
720; 31.015; 6.34143; 0.608962; 0.292809; 0.316153; 0.108678; 0.933458; 0.87677; 0.384; 0.238174; 0.78348; 10
750; 30.66; 6.34194; 0.609384; 0.293561; 0.315823; 0.106066; 0.933195; 0.876035; 0.380366; 0.235967; 0.784927; 10
780; 30.23; 6.34633; 0.610175; 0.294555; 0.31562; 0.106614; 0.932455; 0.87681; 0.380885; 0.235693; 0.78473; 10
810; 29.565; 6.33673; 0.611185; 0.295612; 0.315573; 0.110571; 0.931148; 0.878889; 0.382288; 0.2365; 0.785462; 10
840; 29.14; 6.3253; 0.61233; 0.29661; 0.31572; 0.109363; 0.93077; 0.875927; 0.381731; 0.23673; 0.786383; 10
870; 29.12; 6.33408; 0.613426; 0.297345; 0.316081; 0.108255; 0.93119; 0.876905; 0.381783; 0.236946; 0.785113; 10
900; 28.79; 6.34571; 0.613666; 0.29786; 0.315806; 0.108838; 0.930757; 0.875897; 0.381168; 0.235572; 0.786321; 10
930; 28.545; 6.35071; 0.614101; 0.298673; 0.315429; 0.10788; 0.930663; 0.880529; 0.378925; 0.234534; 0.787558; 10
960; 28.035; 6.34816; 0.615918; 0.300045; 0.315873; 0.109946; 0.92896; 0.8785; 0.379192; 0.235405; 0.788007; 10
990; 27.745; 6.31837; 0.6168; 0.300766; 0.316034; 0.108696; 0.928694; 0.880489; 0.380573; 0.236709; 0.78804; 10
1020; 27.635; 6.3851; 0.616896; 0.301068; 0.315828; 0.110192; 0.928585; 0.879573; 0.379386; 0.234863; 0.787385; 10
1050; 27.56; 6.36296; 0.61726; 0.301591; 0.315669; 0.110229; 0.927881; 0.877231; 0.378965; 0.234603; 0.788853; 10
1080; 27.46; 6.33102; 0.61829; 0.302405; 0.315885; 0.109338; 0.927882; 0.88124; 0.382035; 0.236857; 0.787004; 10
1110; 27.025; 6.37602; 0.619698; 0.303554; 0.316143; 0.11166; 0.927472; 0.880843; 0.378721; 0.235194; 0.789182; 10
1140; 27.2; 6.35918; 0.619877; 0.304113; 0.315765; 0.112266; 0.926468; 0.879793; 0.380442; 0.235996; 0.78949; 10
1170; 26.885; 6.33714; 0.620203; 0.304531; 0.315672; 0.113844; 0.925586; 0.877856; 0.380325; 0.236616; 0.789354; 10
1200; 26.71; 6.33959; 0.620477; 0.304889; 0.315588; 0.11308; 0.925796; 0.882034; 0.381166; 0.236478; 0.787506; 10
1230; 26.455; 6.30959; 0.621097; 0.305513; 0.315584; 0.113126; 0.925204; 0.878992; 0.380641; 0.236885; 0.789036; 10
1260; 26.265; 6.36163; 0.62153; 0.305901; 0.315629; 0.111591; 0.925732; 0.879183; 0.379444; 0.235151; 0.789317; 10
1290; 26.33; 6.35469; 0.622039; 0.306372; 0.315667; 0.111953; 0.925255; 0.882883; 0.378796; 0.234723; 0.791145; 10
1320; 26.22; 6.33602; 0.622864; 0.30717; 0.315694; 0.114057; 0.924623; 0.878742; 0.379979; 0.2356; 0.790828; 10
1350; 26.06; 6.34949; 0.623162; 0.307407; 0.315755; 0.111658; 0.9251; 0.88259; 0.37915; 0.23519; 0.790544; 10
1380; 25.965; 6.37143; 0.62373; 0.308076; 0.315654; 0.111991; 0.925195; 0.880007; 0.378957; 0.235195; 0.790041; 10
1410; 26.03; 6.36816; 0.623387; 0.308069; 0.315317; 0.111558; 0.924751; 0.880292; 0.378417; 0.234248; 0.789728; 10
1440; 25.725; 6.36622; 0.624524; 0.308927; 0.315597; 0.113009; 0.924408; 0.880114; 0.378261; 0.234574; 0.791015; 10
1470; 25.5; 6.33939; 0.624872; 0.309198; 0.315674; 0.112657; 0.92454; 0.879726; 0.379219; 0.235314; 0.79063; 10
1500; 25.265; 6.33959; 0.625025; 0.309468; 0.315557; 0.112147; 0.924979; 0.882493; 0.379134; 0.235226; 0.790367; 10
1530; 25.53; 6.34827; 0.626113; 0.310105; 0.316007; 0.111316; 0.925188; 0.881545; 0.379396; 0.235465; 0.791181; 10
1560; 25.33; 6.38612; 0.626466; 0.31053; 0.315936; 0.110548; 0.925364; 0.882805; 0.377118; 0.233613; 0.792127; 10
1590; 25.38; 6.37836; 0.626248; 0.310574; 0.315674; 0.111195; 0.925369; 0.887417; 0.379498; 0.234996; 0.789994; 10
1620; 24.895; 6.40143; 0.626424; 0.310901; 0.315524; 0.111683; 0.925214; 0.887574; 0.376731; 0.233227; 0.791264; 10
1650; 24.845; 6.40051; 0.627197; 0.311486; 0.315711; 0.111526; 0.924935; 0.883521; 0.375764; 0.232486; 0.793255; 10
1680; 24.98; 6.3847; 0.627724; 0.311866; 0.315858; 0.110358; 0.92526; 0.886681; 0.378419; 0.234181; 0.792046; 10
1710; 24.885; 6.4003; 0.628018; 0.312076; 0.315942; 0.110452; 0.925119; 0.889199; 0.378767; 0.234603; 0.790568; 10
1740; 24.54; 6.37357; 0.628355; 0.312329; 0.316027; 0.11176; 0.92495; 0.889528; 0.378407; 0.234782; 0.791545; 10
1770; 24.625; 6.39653; 0.628761; 0.312677; 0.316085; 0.1109; 0.925314; 0.891976; 0.37631; 0.233147; 0.792617; 10
1800; 24.605; 6.41673; 0.628312; 0.312597; 0.315715; 0.109933; 0.925204; 0.88788; 0.375837; 0.232089; 0.791643; 10
1830; 24.65; 6.40704; 0.629348; 0.313273; 0.316075; 0.110785; 0.924955; 0.884513; 0.377385; 0.233628; 0.791732; 10
1860; 24.765; 6.40449; 0.629189; 0.313321; 0.315868; 0.109686; 0.92554; 0.888039; 0.376175; 0.232426; 0.792899; 10
