Nvariety;Reference;Data;Specie
2;Fraser et al, 2012. Água Azul floodplain;2006;Manioc
2;Fraser et al, 2012. Água Azul floodplain;2006;Manioc
2;Fraser et al, 2012. Água Azul floodplain;2006;Manioc
2;Fraser et al, 2012. Água Azul floodplain;2006;Manioc
2;Fraser et al, 2012. Água Azul floodplain;2006;Manioc
1;Fraser et al, 2012. Água Azul floodplain;2006;Manioc
1;Fraser et al, 2012. Água Azul floodplain;2006;Manioc
1;Fraser et al, 2012. Água Azul floodplain;2006;Manioc
7;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
6;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
5;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
4;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
4;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
4;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
4;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
4;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
4;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
3;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
3;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
3;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
3;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
3;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
3;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
3;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
3;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
3;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
3;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
3;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
3;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
3;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
3;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
3;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
3;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
3;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
3;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
3;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
2;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
2;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
2;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
2;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
2;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
1;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
1;Fraser et al, 2012. Genipapo floodplain;2006;Manioc
8;Kawa et al, 2013;2010;Manioc
8;Kawa et al, 2013;2010;Manioc
6;Kawa et al, 2013;2010;Manioc
6;Kawa et al, 2013;2010;Manioc
5;Kawa et al, 2013;2010;Manioc
5;Kawa et al, 2013;2010;Manioc
5;Kawa et al, 2013;2010;Manioc
4;Kawa et al, 2013;2010;Manioc
4;Kawa et al, 2013;2010;Manioc
4;Kawa et al, 2013;2010;Manioc
4;Kawa et al, 2013;2010;Manioc
4;Kawa et al, 2013;2010;Manioc
4;Kawa et al, 2013;2010;Manioc
4;Kawa et al, 2013;2010;Manioc
4;Kawa et al, 2013;2010;Manioc
3;Kawa et al, 2013;2010;Manioc
3;Kawa et al, 2013;2010;Manioc
3;Kawa et al, 2013;2010;Manioc
3;Kawa et al, 2013;2010;Manioc
3;Kawa et al, 2013;2010;Manioc
3;Kawa et al, 2013;2010;Manioc
3;Kawa et al, 2013;2010;Manioc
3;Kawa et al, 2013;2010;Manioc
3;Kawa et al, 2013;2010;Manioc
3;Kawa et al, 2013;2010;Manioc
3;Kawa et al, 2013;2010;Manioc
3;Kawa et al, 2013;2010;Manioc
3;Kawa et al, 2013;2010;Manioc
3;Kawa et al, 2013;2010;Manioc
3;Kawa et al, 2013;2010;Manioc
3;Kawa et al, 2013;2010;Manioc
2;Kawa et al, 2013;2010;Manioc
2;Kawa et al, 2013;2010;Manioc
2;Kawa et al, 2013;2010;Manioc
1;Kawa et al, 2013;2010;Manioc
1;Kawa et al, 2013;2010;Manioc
1;Kawa et al, 2013;2010;Manioc
53;Salick et al., 1997;1986;Manioc
11;Salick et al., 1997;1986;Manioc
11;Salick et al., 1997;1986;Manioc
9;Salick et al., 1997;1986;Manioc
9;Salick et al., 1997;1986;Manioc
9;Salick et al., 1997;1986;Manioc
9;Salick et al., 1997;1986;Manioc
8;Salick et al., 1997;1986;Manioc
8;Salick et al., 1997;1986;Manioc
7;Salick et al., 1997;1986;Manioc
7;Salick et al., 1997;1986;Manioc
7;Salick et al., 1997;1986;Manioc
6;Salick et al., 1997;1986;Manioc
6;Salick et al., 1997;1986;Manioc
5;Salick et al., 1997;1986;Manioc
5;Salick et al., 1997;1986;Manioc
5;Salick et al., 1997;1986;Manioc
5;Salick et al., 1997;1986;Manioc
5;Salick et al., 1997;1986;Manioc
4;Salick et al., 1997;1986;Manioc
3;Salick et al., 1997;1986;Manioc
3;Salick et al., 1997;1986;Manioc
3;Salick et al., 1997;1986;Manioc
3;Salick et al., 1997;1986;Manioc
3;Salick et al., 1997;1986;Manioc
2;Salick et al., 1997;1986;Manioc
1;Salick et al., 1997;1986;Manioc
7;Pujol et al, 2007. 1998;1998;Manioc
6;Pujol et al, 2007. 1998;1998;Manioc
6;Pujol et al, 2007. 1998;1998;Manioc
4;Pujol et al, 2007. 1998;1998;Manioc
6;Pujol et al, 2007. 2002;2002;Manioc
3;Pujol et al, 2007. 2002;2002;Manioc
3;Pujol et al, 2007. 2002;2002;Manioc
3;Pujol et al, 2007. 2002;2002;Manioc
7;Ramos et al. (2011). Duas Comunidades;2008;Manioc
7;Ramos et al. (2011). Duas Comunidades;2008;Manioc
7;Ramos et al. (2011). Duas Comunidades;2008;Manioc
6;Ramos et al. (2011). Duas Comunidades;2008;Manioc
6;Ramos et al. (2011). Duas Comunidades;2008;Manioc
6;Ramos et al. (2011). Duas Comunidades;2008;Manioc
6;Ramos et al. (2011). Duas Comunidades;2008;Manioc
2;Ramos et al. (2011). Duas Comunidades;2008;Manioc
2;Ramos et al. (2011). Duas Comunidades;2008;Manioc
2;Ramos et al. (2011). Duas Comunidades;2008;Manioc
2;Ramos et al. (2011). Duas Comunidades;2008;Manioc
2;Ramos et al. (2011). Duas Comunidades;2008;Manioc
2;Ramos et al. (2011). Duas Comunidades;2008;Manioc
2;Ramos et al. (2011). Duas Comunidades;2008;Manioc
2;Ramos et al. (2011). Duas Comunidades;2008;Manioc
2;Ramos et al. (2011). Duas Comunidades;2008;Manioc
2;Ramos et al. (2011). Duas Comunidades;2008;Manioc
2;Ramos et al. (2011). Duas Comunidades;2008;Manioc
2;Ramos et al. (2011). Duas Comunidades;2008;Manioc
2;Ramos et al. (2011). Duas Comunidades;2008;Manioc
2;Ramos et al. (2011). Duas Comunidades;2008;Manioc
2;Ramos et al. (2011). Duas Comunidades;2008;Manioc
2;Ramos et al. (2011). Duas Comunidades;2008;Manioc
2;Ramos et al. (2011). Duas Comunidades;2008;Manioc
2;Ramos et al. (2011). Duas Comunidades;2008;Manioc
1;Ramos et al. (2011). Duas Comunidades;2008;Manioc
1;Ramos et al. (2011). Duas Comunidades;2008;Manioc
43;Quiroz et al. (1990);1987;Potato
