Nvariedades;Fonte;Data;Especie
1;Fraser et al, 2012. Água Azul;2006;Mandioca
1;Fraser et al, 2012. Água Azul;2006;Mandioca
1;Fraser et al, 2012. Água Azul;2006;Mandioca
6;Fraser et al, 2012. Barro Alto;2006;Mandioca
6;Fraser et al, 2012. Barro Alto;2006;Mandioca
5;Fraser et al, 2012. Barro Alto;2006;Mandioca
5;Fraser et al, 2012. Barro Alto;2006;Mandioca
5;Fraser et al, 2012. Barro Alto;2006;Mandioca
5;Fraser et al, 2012. Barro Alto;2006;Mandioca
4;Fraser et al, 2012. Barro Alto;2006;Mandioca
4;Fraser et al, 2012. Barro Alto;2006;Mandioca
