Nvariedades;Fonte;Data;Especie
5;Winter et al. (2005);1999;Batata
5;Winter et al. (2005);1999;Batata
5;Winter et al. (2005);1999;Batata
5;Winter et al. (2005);1999;Batata
5;Winter et al. (2005);1999;Batata
5;Winter et al. (2005);1999;Batata
5;Winter et al. (2005);1999;Batata
5;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
4;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
3;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
2;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
1;Winter et al. (2005);1999;Batata
