### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 500, TIMEINTERVAL = 5, NRUN = 500 ###

DU;Type;difference;Time
38;1;0.210967;6
34;0;-0.00631624;6
34;1;0.229385;6
24;0;0.00143802;6
24;1;0.217079;6
48;0;0.00791043;6
48;1;0.216817;6
42;0;0.00505286;6
42;1;0.264345;6
0;0;0.0158136;6
0;1;0.252743;6
44;0;0.00149822;6
44;1;0.172251;6
10;0;0.00989687;6
10;1;0.199766;6
16;0;0.0141381;6
16;1;0.221262;6
46;0;0.00550824;6
46;1;0.174494;6
13;0;0.0178827;6
13;1;0.245422;6
8;0;0.00958496;6
8;1;0.219283;6
2;0;0.00416857;6
2;1;0.248897;6
40;0;0.00897866;6
40;1;0.176763;6
20;0;-0.00301772;6
20;1;0.251965;6
9;0;0.00580662;6
9;1;0.187944;6
29;0;0.0192221;6
29;1;0.198532;6
12;0;0.0243555;6
12;1;0.248897;6
17;0;0.00810933;6
17;1;0.2456;6
37;0;-0.00243729;6
37;1;0.258213;6
7;0;0.00271565;6
7;1;0.237431;6
43;0;0.0109015;6
43;1;0.244918;6
1;0;0.0290257;6
1;1;0.268629;6
41;0;-0.00505286;6
41;1;0.239333;6
32;0;0.0142657;6
32;1;0.263081;6
36;0;0.00690794;6
36;1;0.212867;6
45;0;-0.00149822;6
45;1;0.192409;6
22;0;0.0134975;6
22;1;0.190492;6
33;0;0.00635356;6
33;1;0.233535;6
26;0;0.0355966;6
26;1;0.224433;6
23;0;0.00361675;6
23;1;0.245277;6
47;0;0.00340348;6
47;1;0.260139;6
14;0;-0.0141381;6
14;1;0.185549;6
28;0;0.0400676;6
28;1;0.267003;6
4;0;0.00595331;6
4;1;0.235284;6
5;0;0.0050509;6
5;1;0.183204;6
39;0;0.00702924;6
39;1;0.166542;6
25;0;0.0183691;6
25;1;0.255838;6
21;0;0.0154825;6
21;1;0.135517;6
41;0;-0.010032;7
41;1;0.205292;7
1;0;0.0294278;7
1;1;0.266772;7
23;0;0.00134677;7
23;1;0.239824;7
6;0;-0.0019474;7
6;1;0.220434;7
0;0;0.0158136;7
0;1;0.252743;7
40;0;0.0139578;7
40;1;0.176763;7
11;0;0.00629932;7
11;1;0.184894;7
12;0;0.0239696;7
12;1;0.233393;7
21;0;0.0154825;7
21;1;0.135517;7
46;0;0.00935906;7
46;1;0.174494;7
3;0;-0.00350869;7
3;1;0.22571;7
26;0;0.0355966;7
26;1;0.224433;7
25;0;0.0183691;7
25;1;0.255838;7
45;0;-0.00196332;7
45;1;0.18959;7
35;0;0.00156236;7
35;1;0.245277;7
42;0;0.010032;7
42;1;0.264345;7
20;0;0.00116527;7
20;1;0.251965;7
4;0;0.00390452;7
4;1;0.233676;7
48;0;0.00384456;7
48;1;0.213742;7
31;0;0.0185417;7
31;1;0.175293;7
34;0;-0.000970662;7
34;1;0.229385;7
18;0;-0.00116527;7
18;1;0.204875;7
44;0;0.00196332;7
44;1;0.168713;7
38;0;0.0277615;7
38;1;0.198546;7
30;0;-0.00705951;7
30;1;0.176632;7
47;0;0.0072543;7
47;1;0.260139;7
28;0;0.0356318;7
28;1;0.263487;7
17;0;0.00795537;7
17;1;0.245377;7
43;0;0.0158806;7
43;1;0.244918;7
29;0;0.0192221;7
29;1;0.198532;7
27;0;-0.0183691;7
27;1;0.216834;7
37;0;-0.00156236;7
37;1;0.258213;7
33;0;0.00239605;7
33;1;0.220736;7
39;0;0.0120084;7
39;1;0.166542;7
10;0;0.0101153;7
10;1;0.199766;7
13;0;0.0178887;7
13;1;0.229385;7
2;0;0.00462037;7
2;1;0.233393;7
32;0;0.0130259;7
32;1;0.254012;7
19;0;0.01413;7
19;1;0.229385;7
36;0;0.00239521;7
36;1;0.208486;7
8;0;0.00958496;7
8;1;0.219283;7
22;0;0.0103491;7
22;1;0.187684;7
16;0;0.0182966;7
16;1;0.221262;7
9;0;0.00266856;7
9;1;0.182899;7
5;0;0.00350869;7
5;1;0.181383;7
24;0;-0.00134677;7
24;1;0.213536;7
7;0;0.00271565;7
7;1;0.237431;7
14;0;-0.0157573;7
14;1;0.182138;7
15;0;0.0157573;7
15;1;0.188325;7
21;0;0.0201316;8
21;1;0.135517;8
48;0;0.00384456;8
48;1;0.213742;8
26;0;0.0315966;8
26;1;0.214541;8
16;0;0.0182966;8
16;1;0.221262;8
13;0;0.0140336;8
13;1;0.225166;8
41;0;-0.00885689;8
41;1;0.201074;8
42;0;0.00885689;8
42;1;0.254012;8
2;0;0.0012424;8
2;1;0.228311;8
35;0;0.00702798;8
35;1;0.245277;8
33;0;-0.00120544;8
33;1;0.219781;8
30;0;-0.00374985;8
30;1;0.176632;8
27;0;-0.0159125;8
27;1;0.216834;8
