### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

time; nVar; meanDU; param
730; 22.582; 3.7751; 0.0001
740; 22.578; 3.77392; 0.0001
750; 22.586; 3.77277; 0.0001
760; 22.572; 3.77204; 0.0001
770; 22.574; 3.77167; 0.0001
780; 22.578; 3.77131; 0.0001
790; 22.576; 3.77082; 0.0001
800; 22.58; 3.76996; 0.0001
810; 22.582; 3.76898; 0.0001
820; 22.578; 3.76816; 0.0001
830; 22.574; 3.76767; 0.0001
840; 22.564; 3.76743; 0.0001
850; 22.564; 3.76743; 0.0001
860; 22.572; 3.76706; 0.0001
870; 22.564; 3.76653; 0.0001
880; 22.572; 3.76575; 0.0001
890; 22.576; 3.76482; 0.0001
900; 22.578; 3.76461; 0.0001
910; 22.576; 3.76396; 0.0001
920; 22.586; 3.76335; 0.0001
930; 22.586; 3.76314; 0.0001
940; 22.598; 3.76294; 0.0001
950; 22.596; 3.76216; 0.0001
960; 22.598; 3.76171; 0.0001
970; 22.6; 3.76114; 0.0001
980; 22.604; 3.76078; 0.0001
990; 22.606; 3.76033; 0.0001
0; 49.804; 31.3511; 0.00025
10; 49.818; 23.2609; 0.00025
20; 49.644; 15.8729; 0.00025
30; 44.726; 9.22531; 0.00025
40; 35.768; 5.29049; 0.00025
50; 27.866; 4.12633; 0.00025
60; 23.632; 3.84906; 0.00025
70; 22.624; 3.75616; 0.00025
80; 22.308; 3.71323; 0.00025
90; 22.164; 3.69425; 0.00025
100; 22.096; 3.68253; 0.00025
110; 22.052; 3.67474; 0.00025
120; 22.03; 3.66992; 0.00025
130; 22.038; 3.66723; 0.00025
140; 22.036; 3.66474; 0.00025
150; 22.038; 3.6629; 0.00025
160; 22.05; 3.66237; 0.00025
170; 22.042; 3.66074; 0.00025
180; 22.056; 3.65902; 0.00025
190; 22.058; 3.6571; 0.00025
200; 22.062; 3.65563; 0.00025
210; 22.06; 3.65478; 0.00025
220; 22.07; 3.65404; 0.00025
230; 22.074; 3.65343; 0.00025
240; 22.08; 3.65212; 0.00025
250; 22.092; 3.65029; 0.00025
260; 22.104; 3.64955; 0.00025
270; 22.106; 3.64841; 0.00025
280; 22.11; 3.64718; 0.00025
290; 22.112; 3.64551; 0.00025
300; 22.134; 3.64441; 0.00025
310; 22.142; 3.6429; 0.00025
320; 22.162; 3.6409; 0.00025
330; 22.164; 3.63976; 0.00025
340; 22.168; 3.63792; 0.00025
350; 22.184; 3.63584; 0.00025
360; 22.18; 3.63449; 0.00025
370; 22.202; 3.63343; 0.00025
380; 22.194; 3.63192; 0.00025
390; 22.194; 3.63057; 0.00025
400; 22.198; 3.62988; 0.00025
410; 22.192; 3.62845; 0.00025
420; 22.208; 3.62743; 0.00025
430; 22.21; 3.62563; 0.00025
440; 22.216; 3.62404; 0.00025
450; 22.224; 3.62257; 0.00025
460; 22.228; 3.62192; 0.00025
470; 22.242; 3.62131; 0.00025
480; 22.246; 3.61988; 0.00025
490; 22.264; 3.61788; 0.00025
500; 22.268; 3.61714; 0.00025
510; 22.274; 3.61531; 0.00025
520; 22.284; 3.61376; 0.00025
530; 22.288; 3.61318; 0.00025
540; 22.296; 3.61265; 0.00025
550; 22.308; 3.61065; 0.00025
560; 22.318; 3.6091; 0.00025
570; 22.326; 3.60837; 0.00025
580; 22.324; 3.60714; 0.00025
590; 22.356; 3.60555; 0.00025
600; 22.338; 3.60376; 0.00025
610; 22.344; 3.60286; 0.00025
620; 22.35; 3.60233; 0.00025
630; 22.374; 3.60155; 0.00025
640; 22.376; 3.60061; 0.00025
650; 22.4; 3.60008; 0.00025
660; 22.412; 3.59914; 0.00025
670; 22.41; 3.59779; 0.00025
680; 22.408; 3.59665; 0.00025
690; 22.404; 3.59543; 0.00025
700; 22.412; 3.59437; 0.00025
710; 22.434; 3.59253; 0.00025
720; 22.438; 3.59163; 0.00025
730; 22.45; 3.58988; 0.00025
740; 22.45; 3.58828; 0.00025
750; 22.452; 3.58743; 0.00025
760; 22.46; 3.5858; 0.00025
770; 22.468; 3.58441; 0.00025
780; 22.46; 3.58322; 0.00025
790; 22.464; 3.582; 0.00025
800; 22.472; 3.57947; 0.00025
810; 22.472; 3.57816; 0.00025
820; 22.47; 3.57694; 0.00025
830; 22.486; 3.57641; 0.00025
840; 22.494; 3.57539; 0.00025
850; 22.488; 3.5742; 0.00025
860; 22.5; 3.57298; 0.00025
870; 22.516; 3.57151; 0.00025
880; 22.518; 3.57004; 0.00025
890; 22.53; 3.56959; 0.00025
900; 22.546; 3.56796; 0.00025
910; 22.55; 3.56629; 0.00025
920; 22.552; 3.56543; 0.00025
930; 22.56; 3.56437; 0.00025
940; 22.574; 3.56278; 0.00025
950; 22.594; 3.5609; 0.00025
960; 22.588; 3.56; 0.00025
970; 22.584; 3.55931; 0.00025
980; 22.592; 3.55808; 0.00025
990; 22.598; 3.55702; 0.00025
0; 49.828; 31.3294; 0.0005
10; 49.846; 23.2684; 0.0005
20; 49.72; 15.8728; 0.0005
30; 44.79; 9.26437; 0.0005
40; 36.024; 5.40636; 0.0005
50; 28.094; 4.27976; 0.0005
60; 24.148; 3.98918; 0.0005
70; 23.082; 3.88523; 0.0005
80; 22.672; 3.84102; 0.0005
90; 22.516; 3.82074; 0.0005
100; 22.43; 3.81098; 0.0005
110; 22.424; 3.80437; 0.0005
120; 22.442; 3.79923; 0.0005
130; 22.494; 3.79355; 0.0005
140; 22.468; 3.78947; 0.0005
150; 22.494; 3.78608; 0.0005
160; 22.496; 3.78404; 0.0005
170; 22.504; 3.78094; 0.0005
180; 22.504; 3.77927; 0.0005
190; 22.532; 3.776; 0.0005
200; 22.522; 3.77302; 0.0005
210; 22.544; 3.76968; 0.0005
220; 22.548; 3.76727; 0.0005
230; 22.562; 3.76502; 0.0005
240; 22.562; 3.76298; 0.0005
250; 22.564; 3.76127; 0.0005
260; 22.596; 3.75763; 0.0005
270; 22.6; 3.75506; 0.0005
280; 22.622; 3.75265; 0.0005
290; 22.638; 3.75049; 0.0005
300; 22.648; 3.74694; 0.0005
310; 22.68; 3.74437; 0.0005
320; 22.684; 3.74057; 0.0005
330; 22.694; 3.73747; 0.0005
340; 22.7; 3.73429; 0.0005
350; 22.694; 3.73147; 0.0005
360; 22.712; 3.7289; 0.0005
