### PARAMETERS VALUE ###
### LATTICESIZE = 50, NSPECIE = 100, NRESOURCE = 3, DEATHPROB = 0.25, MUTATIONPROB = 0, NRESOURCEDIST = 2500, MAXTIME = 20000, TIMEINTERVAL = 100, NRUN = 10 ###

time; nSpecie; param
15900; 1; 0.075
16000; 1; 0.075
16100; 1; 0.075
16200; 1; 0.075
16300; 1; 0.075
16400; 1; 0.075
16500; 1; 0.075
16600; 1; 0.075
16700; 1; 0.075
16800; 1; 0.075
16900; 1; 0.075
17000; 1; 0.075
17100; 1; 0.075
17200; 1; 0.075
17300; 1; 0.075
17400; 1; 0.075
17500; 1; 0.075
17600; 1; 0.075
17700; 1; 0.075
17800; 1; 0.075
17900; 1; 0.075
18000; 1; 0.075
18100; 1; 0.075
18200; 1; 0.075
18300; 1; 0.075
18400; 1; 0.075
18500; 1; 0.075
18600; 1; 0.075
18700; 1; 0.075
18800; 1; 0.075
18900; 1; 0.075
19000; 1; 0.075
19100; 1; 0.075
19200; 1; 0.075
19300; 1; 0.075
19400; 1; 0.075
19500; 1; 0.075
19600; 1; 0.075
19700; 1; 0.075
19800; 1; 0.075
19900; 1; 0.075
0; 100; 0.1
100; 81; 0.1
200; 62; 0.1
300; 50; 0.1
400; 42; 0.1
500; 35; 0.1
600; 31; 0.1
700; 27; 0.1
800; 24; 0.1
900; 22; 0.1
1000; 19; 0.1
1100; 17; 0.1
1200; 15; 0.1
1300; 14; 0.1
1400; 12; 0.1
1500; 11; 0.1
1600; 10; 0.1
1700; 9; 0.1
1800; 8; 0.1
1900; 8; 0.1
2000; 7; 0.1
2100; 7; 0.1
2200; 6; 0.1
2300; 6; 0.1
2400; 6; 0.1
2500; 5; 0.1
2600; 5; 0.1
2700; 4; 0.1
2800; 4; 0.1
2900; 4; 0.1
3000; 4; 0.1
3100; 4; 0.1
3200; 4; 0.1
3300; 3; 0.1
3400; 3; 0.1
3500; 3; 0.1
3600; 3; 0.1
3700; 3; 0.1
3800; 3; 0.1
3900; 3; 0.1
4000; 3; 0.1
4100; 3; 0.1
4200; 3; 0.1
4300; 2; 0.1
4400; 2; 0.1
4500; 2; 0.1
4600; 2; 0.1
4700; 2; 0.1
4800; 2; 0.1
4900; 2; 0.1
5000; 2; 0.1
5100; 2; 0.1
5200; 2; 0.1
5300; 2; 0.1
5400; 2; 0.1
5500; 2; 0.1
5600; 2; 0.1
5700; 2; 0.1
5800; 2; 0.1
5900; 2; 0.1
6000; 2; 0.1
6100; 2; 0.1
6200; 2; 0.1
6300; 2; 0.1
6400; 2; 0.1
6500; 2; 0.1
6600; 2; 0.1
6700; 2; 0.1
6800; 2; 0.1
6900; 1; 0.1
7000; 1; 0.1
7100; 1; 0.1
7200; 1; 0.1
7300; 1; 0.1
7400; 1; 0.1
7500; 1; 0.1
7600; 1; 0.1
7700; 1; 0.1
7800; 1; 0.1
7900; 1; 0.1
8000; 1; 0.1
8100; 1; 0.1
8200; 1; 0.1
8300; 1; 0.1
8400; 1; 0.1
8500; 1; 0.1
8600; 1; 0.1
8700; 1; 0.1
8800; 1; 0.1
8900; 1; 0.1
9000; 1; 0.1
9100; 1; 0.1
9200; 1; 0.1
9300; 1; 0.1
9400; 1; 0.1
9500; 1; 0.1
9600; 1; 0.1
9700; 1; 0.1
9800; 1; 0.1
9900; 1; 0.1
10000; 1; 0.1
10100; 1; 0.1
10200; 1; 0.1
10300; 1; 0.1
10400; 1; 0.1
10500; 1; 0.1
10600; 1; 0.1
10700; 1; 0.1
10800; 1; 0.1
10900; 1; 0.1
11000; 1; 0.1
11100; 1; 0.1
11200; 1; 0.1
11300; 1; 0.1
11400; 1; 0.1
11500; 1; 0.1
11600; 1; 0.1
11700; 1; 0.1
11800; 1; 0.1
11900; 1; 0.1
12000; 1; 0.1
12100; 1; 0.1
12200; 1; 0.1
12300; 1; 0.1
12400; 1; 0.1
12500; 1; 0.1
12600; 1; 0.1
12700; 1; 0.1
12800; 1; 0.1
12900; 1; 0.1
